"Story","Title","Result","Date","Stability","Duration (s)"
"Compra demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-01T23:25:03.425-05:00[America/Bogota]","0.0","10.94"
"Eliminar productos del carrito","Eliminar productos del carrito","SUCCESS","2023-09-02T00:17:24.908-05:00[America/Bogota]","0.0","14.21"
"Login demoblaze","Realizar login demoblaze","SUCCESS","2023-09-01T23:24:54.757-05:00[America/Bogota]","0.0","7.68"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-01T23:24:30.347-05:00[America/Bogota]","0.0","12.73"
"Registro demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-01T23:25:15.384-05:00[America/Bogota]","0.0","8.65"
