"Story","Title","Result","Date","Stability","Duration (s)"
"Compra demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-01T22:32:10.752-05:00[America/Bogota]","0.0","12.99"
"Eliminar productos del carrito","Eliminar productos del carrito","SUCCESS","2023-09-01T22:31:51.769-05:00[America/Bogota]","0.0","9.01"
"Login demoblaze","Realizar login demoblaze","SUCCESS","2023-09-01T22:32:01.886-05:00[America/Bogota]","0.0","7.95"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-01T22:31:36.074-05:00[America/Bogota]","0.0","13.78"
"Registro demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-01T22:32:24.899-05:00[America/Bogota]","0.0","7.17"
