"Story","Title","Result","Date","Stability","Duration (s)"
"Login demoblaze","Realizar login demoblaze","SUCCESS","2023-09-02T00:49:00.056-05:00[America/Bogota]","0.0","7.83"
"Registro demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-02T00:49:22.316-05:00[America/Bogota]","0.0","7.45"
