"Story","Title","Result","Date","Stability","Duration (s)"
"Compra demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-02T00:31:38.216-05:00[America/Bogota]","0.0","11.52"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-02T00:30:59.064-05:00[America/Bogota]","0.0","16.38"
