"Story","Title","Result","Date","Stability","Duration (s)"
"Compra demoblaze","Realizar compra demoblaze","ERROR","2023-09-01T20:26:48.7110109-05:00[America/Bogota]","0.0","14.16"
"Cerrar sesiÃ³n en demoblaze","Cerrar sesiÃ³n en demoblaze","SUCCESS","2023-09-01T17:47:49.1743444-05:00[America/Bogota]","0.0","17.48"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-01T20:03:22.642014-05:00[America/Bogota]","0.0","10.31"
