"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar productos del carrito","Eliminar productos del carrito","SUCCESS","2023-09-01T20:03:34.5171232-05:00[America/Bogota]","0.0","9.96"
"Login demoblaze","Realizar login demoblaze","SUCCESS","2023-09-01T20:03:45.5689562-05:00[America/Bogota]","0.0","8.99"
"Cerrar sesiÃ³n en demoblaze","Cerrar sesiÃ³n en demoblaze","SUCCESS","2023-09-01T17:47:49.1743444-05:00[America/Bogota]","0.0","17.48"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-01T20:03:22.642014-05:00[America/Bogota]","0.0","10.31"
"Registro demoblaze","Realizar compra demoblaze","SUCCESS","2023-09-01T20:04:08.0347999-05:00[America/Bogota]","0.0","6.39"
