"Story","Title","Result","Date","Stability","Duration (s)"
"Login demoblaze","Realizar login demoblaze","SUCCESS","2023-09-01T20:03:45.5689562-05:00[America/Bogota]","0.0","8.99"
"Navegar por categorias","Navegar por categorias","SUCCESS","2023-09-01T20:03:22.642014-05:00[America/Bogota]","0.0","10.31"
